scheme_name,state,for_whom,min_age,max_age,max_income,category,location_type,documents,apply_mode,description
PM-KISAN Income Support,All India,Farmer,18,100,99999999,All,Rural,"Aadhaar, Land ownership record, Bank passbook, Mobile number","Official Website","Income-support style assistance for eligible farmer households after land and bank verification."
PM Fasal Bima Enrollment Support,All India,Farmer,18,100,99999999,All,Rural,"Aadhaar, Land record, Crop sowing certificate, Bank passbook","Official Website","Crop-insurance enrollment support for cultivators, with claim processing subject to crop-loss verification."
National Post-Matric Scholarship Support,All India,Student,15,30,250000,All,Both,"Aadhaar, Income certificate, Caste/category certificate if applicable, Previous marksheet, Bank passbook","Official Website","Post-matric education assistance for low-income students, reviewed through institute and document verification."
National Means-cum-Merit Education Support,All India,Student,13,18,350000,All,Both,"Aadhaar, Income certificate, School certificate, Previous marksheet, Bank passbook","Official Website","School-level scholarship support for meritorious students from modest-income families."
Central Sector Higher Education Scholarship,All India,Student,17,25,450000,All,Both,"Aadhaar, Income certificate, Class 12 marksheet, College admission proof, Bank passbook","Official Website","Higher-education scholarship style support for students entering recognized colleges or universities."
PM Vishwakarma Skill Support,All India,General,18,55,800000,All,Both,"Aadhaar, Occupation proof, Bank passbook, Mobile number","Official Website","Skill and livelihood support for traditional workers, including training-linked assistance after verification."
PM Kaushal Vikas Training Support,All India,General,18,35,600000,All,Both,"Aadhaar, Education certificate, Residence proof, Bank passbook","Official Website","Short-term skill training and placement-oriented support for youth seeking employable skills."
National Social Assistance Senior Pension Support,All India,General,60,100,300000,All,Both,"Aadhaar, Age proof, Income certificate, Bank passbook, Residence proof","Official Website","Senior citizen pension-style assistance for low-income elderly applicants after local verification."
Janani Suraksha Maternal Assistance,All India,Woman,19,45,300000,All,Both,"Aadhaar, Pregnancy registration proof, Bank passbook, Residence proof","Official Website","Maternal health assistance for eligible women, linked to health-facility registration and verification."
Stand-Up Entrepreneurship Facilitation,All India,Woman,18,60,1000000,All,Both,"Aadhaar, Business plan, Category certificate if applicable, Bank statement, Residence proof","Official Website","Entrepreneurship facilitation for eligible applicants seeking formal credit and enterprise support."
National Rural Livelihood SHG Support,All India,Woman,18,60,300000,All,Rural,"Aadhaar, SHG membership proof, Bank passbook, Residence proof","Official Website","Livelihood support for women self-help group members in rural households."
Senior Citizen Health Assistance,All India,General,60,100,400000,All,Both,"Aadhaar, Age proof, Income certificate, Medical documents, Bank passbook","Official Website","Health-assistance style support for senior citizens, subject to medical and income verification."
Rajasthan SC Post-Matric Scholarship,Rajasthan,Student,15,30,250000,SC,Both,"Aadhaar, SC certificate, Income certificate, Previous marksheet, Fee receipt, Bank passbook",e-Mitra,"Education fee and scholarship support for SC students in Rajasthan after institute verification."
Rajasthan Mukhyamantri Higher Education Support,Rajasthan,Student,17,25,250000,All,Both,"Aadhaar, Income certificate, Class 12 marksheet, College admission proof, Bank passbook",e-Mitra,"Higher-education support for eligible Rajasthan students from low-income households."
Rajasthan Digital Learning Support for SC Students,Rajasthan,Student,15,28,200000,SC,Rural,"Aadhaar, SC certificate, Income certificate, School or college ID, Bank passbook",e-Mitra,"Digital learning assistance for rural SC students, with approval based on education and income documents."
Rajasthan EWS Student Fee Support,Rajasthan,Student,15,30,200000,EWS,Both,"Aadhaar, EWS certificate, Income certificate, Admission proof, Fee receipt",e-Mitra,"Fee-support style assistance for EWS students enrolled in recognized institutions."
Rajasthan ST Hostel and Education Support,Rajasthan,Student,10,30,250000,ST,Rural,"Aadhaar, ST certificate, Income certificate, Hostel certificate, Bank passbook",e-Mitra,"Hostel and education support for eligible rural ST students in Rajasthan."
Rajasthan OBC Coaching Assistance,Rajasthan,Student,17,35,250000,OBC,Both,"Aadhaar, OBC certificate, Income certificate, Coaching admission proof, Bank passbook",e-Mitra,"Coaching assistance for OBC students preparing for competitive examinations."
Rajasthan Kisan Crop Input Assistance,Rajasthan,Farmer,18,100,350000,All,Rural,"Aadhaar, Land record, Crop details, Income certificate, Bank passbook",e-Mitra,"Crop-input assistance for small and marginal farmer households after local document verification."
Rajasthan Small Farmer Irrigation Support,Rajasthan,Farmer,18,70,250000,All,Rural,"Aadhaar, Land record, Irrigation estimate, Bank passbook, Residence proof",e-Mitra,"Irrigation asset support for eligible small farmers, subject to field and cost verification."
Rajasthan Women SHG Livelihood Support,Rajasthan,Woman,18,60,300000,All,Both,"Aadhaar, SHG membership proof, Bank passbook, Income certificate",e-Mitra,"Livelihood assistance for women self-help group members to support income-generating activities."
Rajasthan Girl Child Education Support,Rajasthan,Woman,0,18,300000,All,Both,"Birth certificate, Aadhaar, Residence proof, School enrollment proof, Bank passbook",e-Mitra,"Girl-child education support for eligible families, linked to school enrollment and age verification."
Rajasthan Senior Citizen Pension Assistance,Rajasthan,General,60,100,250000,All,Both,"Aadhaar, Age proof, Income certificate, Bank passbook, Residence proof",e-Mitra,"Pension-style assistance for elderly residents after age, income, and residence verification."
Rajasthan Skill Training Voucher Support,Rajasthan,General,18,35,300000,All,Both,"Aadhaar, Education certificate, Residence proof, Income certificate, Bank passbook",e-Mitra,"Skill training support for youth seeking job-oriented training through approved training partners."
Rajasthan Urban Self Employment Support,Rajasthan,General,18,45,300000,All,Urban,"Aadhaar, Residence proof, Income certificate, Business plan, Bank passbook",e-Mitra,"Urban self-employment assistance for eligible applicants starting small service or trade activities."
Rajasthan Social Security Disability Assistance,Rajasthan,General,18,60,250000,All,Both,"Aadhaar, Disability certificate, Income certificate, Bank passbook, Residence proof",e-Mitra,"Social-security assistance for eligible residents with disabilities after certificate and income verification."
