message,label
"Congratulations! You are selected for PM gift scheme. Pay Rs 99 processing fee to receive Rs 10000.",fake
"OTP share karo aur subsidy claim karo. Last date today.",fake
"Your Aadhaar number is required to unlock government reward cash. Send details now.",fake
"PM Modi gift yojana me aap selected hain. Bank details bhejo aur paisa milega.",fake
"Claim scholarship reward now by paying registration fee through UPI.",fake
"Urgent: sarkari lottery winner. Send OTP to verify account.",fake
"Free money available under government relief scheme. Click short link and pay fee.",fake
"Aapko 5000 rupaye subsidy milegi. QR scan karo aur bank detail bhejo.",fake
"Your bank account will receive cash reward after Aadhaar photo verification.",fake
"Last date today for PM cash benefit. Share OTP and IFSC immediately.",fake
"Government official reward approved. Pay processing charge to release funds.",fake
"Scholarship approved without documents. Send account number to claim now.",fake
"Muft paisa milega under new yojana. Jaldi registration fee pay karo.",fake
"Selected for farmer subsidy. Share bank passbook photo and OTP.",fake
"Click http link to claim free ration cash reward before midnight.",fake
"Tinyurl registration open for PM gift. Send Aadhaar photo and bank details.",fake
"Congratulations student! Lottery scholarship Rs 25000. Pay Rs 199 verification fee.",fake
"Sarkari gift voucher ready. Send OTP bhejo to confirm identity.",fake
"Account verify karo warna subsidy cancel ho jayegi. Aadhaar number bhejo.",fake
"Limited time cash reward from government. UPI payment required for activation.",fake
"आपको सरकारी इनाम मिला है। OTP भेजें और पैसा तुरंत पाएं।",fake
"आधार फोटो भेजो और किसान सब्सिडी अभी क्लेम करो।",fake
"बधाई हो, PM उपहार योजना में चयन हुआ है। बैंक डिटेल भेजें।",fake
"लास्ट डेट आज है, प्रोसेसिंग फीस देकर स्कॉलरशिप पाएं।",fake
"सरकारी लॉटरी में आपका नाम आया है, QR स्कैन करके शुल्क जमा करें।",fake
"Aapke account me Rs 10000 aayega. Bas OTP share karo.",fake
"Bank detail bhejo, sarkari paisa turant milega.",fake
"Claim now nahi kiya to PM yojana benefit cancel ho jayega.",fake
"Free subsidy ke liye registration fee pay money on UPI.",fake
"Aadhaar number aur IFSC bhejne par cash reward release hoga.",fake
"Farmer relief cash approved. Pay Rs 49 file charge immediately.",fake
"Student laptop scheme winner. Send OTP for delivery confirmation.",fake
"Women grant approved. Share bank account and Aadhaar photo.",fake
"Senior pension bonus claim now using short link.",fake
"Government reward department says you have been selected for cash gift.",fake
"Turant apply karo. Limited time yojana reward ke liye processing fee lagegi.",fake
"Your scheme benefit is blocked. Send OTP to reactivate payment.",fake
"PM scholarship lucky draw result: you won. Pay registration fee.",fake
"Bank KYC under sarkari subsidy pending. Send account number now.",fake
"Cash reward guaranteed for all citizens. Click bit.ly link and pay Rs 99.",fake
"National Scholarship Portal allows eligible students to apply through the official portal.",real
"Applicants should verify scheme details on the official government website before applying.",real
"PM-KISAN beneficiaries can check status using Aadhaar or registration details on the official portal.",real
"Rajasthan e-Mitra centers help citizens submit applications for eligible state schemes.",real
"Students may need income certificate, marksheet, and bank passbook for scholarship applications.",real
"Farmers should keep land records and bank passbook ready for crop-related scheme enrollment.",real
"The official portal has published guidelines for post-matric scholarship renewal.",real
"Scheme applications are reviewed after document verification by the concerned department.",real
"Citizens are advised not to share OTP or bank passwords with anyone.",real
"सरकारी योजना की जानकारी केवल आधिकारिक पोर्टल या e-Mitra से जांचें।",real
"छात्रवृत्ति आवेदन के लिए आय प्रमाण पत्र और पिछली मार्कशीट जरूरी हो सकती है।",real
"किसान योजना की स्थिति आधिकारिक वेबसाइट पर देखी जा सकती है।",real
"आवेदन जमा करने से पहले पात्रता नियम पढ़ें और दस्तावेज तैयार रखें।",real
"OTP और बैंक पासवर्ड किसी के साथ साझा न करें।",real
"Official scholarship applications do not require payment to unknown personal accounts.",real
"A government office may ask for documents through approved application channels only.",real
"Women self-help group members can contact local offices for livelihood scheme details.",real
"Senior citizens can check pension eligibility at the local office or official portal.",real
"Skill training programs may require Aadhaar, age proof, and education certificate.",real
"Yojana ki eligibility check karne ke liye official portal par details padhein.",real
"Scholarship renewal window opens after institute verification schedule is announced.",real
"Subsidy applications are processed after local verification and bank account validation.",real
"Beneficiaries should update mobile number only through authorized service centers.",real
"The department released a notice about application deadlines and required documents.",real
"Applicants can track their application status using the official reference number.",real
"Rajasthan students from eligible categories can apply through e-Mitra or official portals.",real
"Farmer crop insurance enrollment follows notified dates and bank verification.",real
"No official scheme asks citizens to share OTP on WhatsApp messages.",real
"Citizens should report suspicious fee demands linked to government benefits.",real
"The scheme helpdesk can guide applicants about documents and eligibility.",real
"Official information messages usually mention portal name, eligibility, and document list.",real
"Aap e-Mitra par jaakar application status check kar sakte hain.",real
"Yuva skill training ke liye age proof aur education certificate submit karna hota hai.",real
"Scholarship form submit karne se pehle bank details ko portal par verify karein.",real
"Mahila self help group support ke liye local office me registration detail check karein.",real
"Pension application ke liye age proof, income certificate aur bank passbook lag sakti hai.",real
"The application window for education assistance is open until the notified date.",real
"Government scheme benefits are transferred only after eligibility and document verification.",real
"Read official guidelines carefully before uploading Aadhaar or income certificates.",real
"Use only official websites or authorized centers for scheme applications.",real
